id,stop_id,stop_name,stop_lat,stop_lon                                                                                                                   
96,77104,Sant  Marti De Centelles,41.760542 ,2.24972                                                                                                     
97,77105,Centelles,41.797834 ,2.223428                                                                                                                   
98,77106,Els Hostalets De Balenya,41.843129 ,2.250218                                                                                                    
99,77107,Balenya,41.852564 ,2.264253                                                                                                                     
100,77109,Vic,41.930805 ,2.248776                                                                                                                         
101,77110,Manlleu,41.998912 ,2.269314                                                                                                                     
102,77111,Torello,42.05217  ,2.259369                                                                                                                     
103,77112,Borgonya (apd),42.065014 ,2.241286                                                                                                              
104,77113,Sant Quirze De Besora-Montesquiu,42.104658 ,2.216977                                                                                            
105,77114,La Farga De Bebie,42.130061 ,2.203924                                                                                                           
106,77200,Ripoll,42.195536 ,2.195977                                                                                                                      
107,77301,Campdevanol,42.221558 ,2.165877                                                                                                                 
108,77303,Ribes De Freser,42.301158 ,2.166078                                                                                                             
109,77304,Planoles (apt),42.313559 ,2.103078                                                                                                              
110,77305,Toses (apt),42.324189 ,2.029728                                                                                                                 
111,77306,La Molina,42.344529 ,1.956006                                                                                                                   
112,77307,Urtx-Alp (apt),42.375375 ,1.899526                                                                                                              
113,77309,Puigcerda,42.428908 ,1.924085                                                                                                                   
114,77310,La Tour De Carol,42.458629 ,1.904703                                                                                                            
115,78005,Villanueva De Gallego,41.7655100,-0.8222040                                                                                                     
116,78100,Zuera,41.8771660,-0.7641720                                                                                                                     
117,78200,Tardienta,41.9757160,-0.5382230                                                                                                                 
118,78201,Gra�en,41.9380330,-0.3693290                                                                                                                    
119,78202,Marcen-Pole�ino,41.8819110,-0.2834560                                                                                                           
120,78203,Sari�ena,41.8175290,-0.1707600                                                                                                                  
121,78300,Selgua,41.9063330,0.14818700                                                                                                                    
122,78301,Monzon-Rio Cinca,41.9136790,0.19693900                                                                                                          
123,78302,Binefar,41.8497680,0.29147800                                                                                                                   
124,78400,Lleida,41.6206960,0.63266900                                                                                                                    
125,78402,Bell-Lloc D'urgell,41.6316190,0.78154700                                                                                                        
126,78403,Mollerussa,41.6317790,0.89677500                                                                                                                
127,78404,Golmes,41.6359290,0.93086300                                                                                                                    
128,78405,Castellnou De Seana,41.6374640,0.96773600                                                                                                       
129,78406,Bellpuig,41.6325450,1.01299300                                                                                                                  
130,78407,Anglesola,41.6464480,1.07919200                                                                                                                 
131,78408,Tarrega,41.6503870,1.13896300                                                                                                                   
132,78500,Cervera,41.6736110,1.27477300                                                                                                                   
133,78501,Sant Guim De Freixenet,41.6559240,1.42053000                                                                                                    
134,78502,Sant Marti Sesgueioles,41.7012170,1.48620400                                                                                                    
135,78503,Calaf,41.7303340,1.51509700                                                                                                                     
136,78504,Seguers-Sant Pere Sallavinera,41.7479910,1.57416700                                                                                             
137,78505,Aguilar De Segarra,41.7389170,1.62372000                                                                                                        
138,78506,Rajadell,41.7331590,1.69627500                                                                                                                  
139,78600,Manresa,41.720129 ,1.82899                                                                                                                      
140,78604,Sant Vicen� De Castellet,41.667899 ,1.863451                                                                                                    
141,78605,Castellbell I El Vilar-Monistrol Monts,41.628059 ,1.869875                                                                                      
142,78606,Vacarisses,41.588024 ,1.913838                                                                                                                  
143,78607,Vacarisses-Torreblanca,41.577138 ,1.921807                                                                                                      
144,78609,Viladecavalls,41.565479 ,1.954342                                                                                                               
145,78610,Sant Miquel De Gonteres,41.568123 ,1.975712                                                                                                     
146,78700,Terrassa,41.570159 ,2.019075                                                                                                                    
147,78703,Sabadell Sud,41.53662  ,2.105617                                                                                                                
148,78704,Sabadell Centre,41.549572 ,2.114757                                                                                                             
149,78705,Barbera Del Valles,41.507162 ,2.127558                                                                                                          
150,78706,Cerdanyola Del Valles,41.492582 ,2.14763                                                                                                        
